discount,explorationProb,step_size,num_sample_starts,step_multiplier,runtime,maze
0.8,0.67,0.24,17,19,0.0016634464263916016,maze1384_dim14.txt
0.99,0.15,0.3,19,8,0.0015995502471923828,maze1384_dim14.txt
0.99,0.12,0.32,18,10,0.0015816688537597656,maze1384_dim14.txt
0.88,0.59,0.26,14,19,0.001697540283203125,maze1384_dim14.txt
0.83,0.69,0.52,15,9,0.0016636848449707031,maze1384_dim14.txt
0.94,0.61,0.67,13,10,0.0018382072448730469,maze1384_dim14.txt
0.99,0.69,0.43,3,7,0.0016551017761230469,maze1384_dim14.txt
0.95,0.55,0.27,13,19,0.0017914772033691406,maze1384_dim14.txt
0.83,0.13,0.9,14,18,0.001707315444946289,maze1384_dim14.txt
0.81,0.69,0.53,5,12,0.0017006397247314453,maze1384_dim14.txt
0.98,0.35,0.17,15,17,0.001707315444946289,maze1384_dim14.txt
0.94,0.16,0.61,13,18,0.0016391277313232422,maze1384_dim14.txt
0.8,0.14,0.86,16,15,0.0017044544219970703,maze1384_dim14.txt
0.98,0.19,0.75,14,7,0.0016474723815917969,maze1384_dim14.txt
0.86,0.52,0.16,16,20,0.0017497539520263672,maze1384_dim14.txt
0.94,0.48,0.12,15,10,0.0017313957214355469,maze1384_dim14.txt
0.9,0.13,0.71,14,16,0.016602516174316406,maze1093_dim43.txt
1.0,0.58,0.29,5,15,0.017388343811035156,maze1093_dim43.txt
0.9,0.33,0.81,8,11,0.016620159149169922,maze1093_dim43.txt
0.95,0.1,0.59,7,11,0.016340970993041992,maze1093_dim43.txt
0.94,0.68,0.88,10,18,0.017868995666503906,maze1093_dim43.txt
0.9,0.5,0.44,9,17,0.017091989517211914,maze1093_dim43.txt
0.81,0.42,0.11,8,19,0.01733994483947754,maze1093_dim43.txt
0.88,0.61,0.4,17,20,0.01822519302368164,maze1093_dim43.txt
0.8,0.12,0.8,16,11,0.016365528106689453,maze1093_dim43.txt
0.98,0.4,0.78,19,7,0.017156124114990234,maze1093_dim43.txt
0.99,0.6,0.74,3,11,0.017490148544311523,maze1093_dim43.txt
0.84,0.21,0.58,11,5,0.017013072967529297,maze1093_dim43.txt
0.81,0.26,0.71,19,18,0.016698122024536133,maze1093_dim43.txt
0.89,0.1,0.7,12,15,0.016582965850830078,maze1093_dim43.txt
0.93,0.5,0.31,19,6,0.01669764518737793,maze1093_dim43.txt
0.96,0.2,0.42,4,9,0.016863584518432617,maze1093_dim43.txt
0.94,0.38,0.55,4,8,0.017714500427246094,maze1093_dim43.txt
0.91,0.64,0.29,18,5,0.0175931453704834,maze1093_dim43.txt
0.86,0.61,0.15,7,20,0.01800370216369629,maze1093_dim43.txt
0.8,0.65,0.72,17,7,0.017382383346557617,maze1093_dim43.txt
0.93,0.51,0.58,20,11,0.017318010330200195,maze1093_dim43.txt
0.95,0.51,0.7,8,7,0.016892671585083008,maze1093_dim43.txt
0.95,0.43,0.85,5,9,0.017803668975830078,maze1093_dim43.txt
0.96,0.16,0.23,20,5,0.01669764518737793,maze1093_dim43.txt
0.81,0.42,0.58,12,15,0.017266511917114258,maze1093_dim43.txt
0.96,0.45,0.32,19,19,0.017688751220703125,maze1093_dim43.txt
0.99,0.45,0.15,15,8,0.0166018009185791,maze1093_dim43.txt
0.91,0.18,0.13,14,16,0.016855716705322266,maze1093_dim43.txt
0.85,0.33,0.86,7,17,0.017041444778442383,maze1093_dim43.txt
0.93,0.57,0.36,7,7,0.01703476905822754,maze1093_dim43.txt
0.9,0.53,0.32,16,15,0.04833698272705078,maze462_dim75.txt
0.82,0.19,0.13,15,5,0.0484011173248291,maze462_dim75.txt
1.0,0.53,0.67,14,18,0.04842829704284668,maze462_dim75.txt
0.92,0.61,0.51,9,16,0.04801130294799805,maze462_dim75.txt
0.94,0.59,0.4,13,18,0.0467829704284668,maze462_dim75.txt
0.98,0.1,0.58,7,19,0.04694533348083496,maze462_dim75.txt
0.8,0.53,0.88,4,10,0.04695558547973633,maze462_dim75.txt
0.83,0.55,0.76,12,17,0.04991722106933594,maze462_dim75.txt
0.87,0.5,0.71,18,15,0.047063350677490234,maze462_dim75.txt
